Sl.No.,Dist. Code,Dist. Name,Block Code,Block name,School code,School Name,Schcat,Schcat1,Schmgt_abstract,Catg,Enr_slab,Enrol,Enr_group,Grant_a mount in lakhs,Amount,Now proposed to release 100% amount,"General component (2202-01-001-15-
05-500-503)","SC
component (2202-01-
789-15-05-
500-503)","ST
component (2202-01-
796-15-05-
500-503)",
186,3601,ADILABAD,360103,BELA,36010302103,MPPS ASHOK NAGAR,1,01_PS,01_Govt_Localbody,Elementary,04_21 to 30,22,01_1-30,0.10,10000,10000,7200,1700,1100,
187,3601,ADILABAD,360103,BELA,36010302104,MPPS BELA (TM),1,01_PS,01_Govt_Localbody,Elementary,12_101 to 200,140,03_101-250,0.50,50000,50000,36000,8500,5500,
188,3601,ADILABAD,360103,BELA,36010302107,TW ASHRAM HIGH SCHOOL (BOYS) BELA,6,03_HS,08_TW (Dept),sec_hsec,13_201 to 300,277,04_251-1000,0.75,75000,75000,54000,12750,8250,
189,3601,ADILABAD,360103,BELA,36010302109,MPUPS BELA (UM),6,03_HS,01_Govt_Localbody,sec_hsec,12_101 to 200,98,02_31-100,0.25,25000,25000,18000,4250,2750,
190,3601,ADILABAD,360103,BELA,36010302113,KGBV BELA,5,04_HSS,04_KGBV,sec_hsec,14_301 to 400,338,04_251-1000,0.75,75000,75000,54000,12750,8250,
191,3601,ADILABAD,360103,BELA,36010302114,"GOVT. JRC, BELA",11,05_JRC,01_Govt_Localbody,sec_hsec,15_401 to 500,485,04_251-1000,0.75,75000,75000,54000,12750,8250,
192,3601,ADILABAD,360103,BELA,36010302401,MPUPS PATAN,2,02_UPS,01_Govt_Localbody,Elementary,06_41 to 50,49,02_31-100,0.25,25000,25000,18000,4250,2750,
193,3601,ADILABAD,360103,BELA,36010302602,MPUPS PONNALA,2,02_UPS,01_Govt_Localbody,Elementary,08_61 to 70,64,02_31-100,0.25,25000,25000,18000,4250,2750,
194,3601,ADILABAD,360103,BELA,36010302702,TWPS BHAVANIGUDA-C,1,01_PS,08_TW (Dept),Elementary,03_11 to 20,12,01_1-30,0.10,10000,10000,7200,1700,1100,
195,3601,ADILABAD,360103,BELA,36010302705,TW ASHRAM HIGH SCHOOL CHANDPALLE,6,03_HS,08_TW (Dept),sec_hsec,12_101 to 200,129,03_101-250,0.50,50000,50000,36000,8500,5500,
196,3601,ADILABAD,360103,BELA,36010302801,MPPS GONDGUDA(C),1,01_PS,01_Govt_Localbody,Elementary,12_101 to 200,101,03_101-250,0.50,50000,50000,36000,8500,5500,
197,3601,ADILABAD,360103,BELA,36010302802,MPPS CHAPRALA,1,01_PS,01_Govt_Localbody,Elementary,06_41 to 50,43,02_31-100,0.25,25000,25000,18000,4250,2750,
198,3601,ADILABAD,360103,BELA,36010302804,ZPHS CHAPRALA,7,03_HS,01_Govt_Localbody,sec_hsec,12_101 to 200,107,03_101-250,0.50,50000,50000,36000,8500,5500,
199,3601,ADILABAD,360103,BELA,36010302901,MPPS WARUR,1,01_PS,01_Govt_Localbody,Elementary,04_21 to 30,25,01_1-30,0.10,10000,10000,7200,1700,1100,
200,3601,ADILABAD,360103,BELA,36010303001,MPPS JUNONI,1,01_PS,01_Govt_Localbody,Elementary,04_21 to 30,26,01_1-30,0.10,10000,10000,7200,1700,1100,
201,3601,ADILABAD,360103,BELA,36010303102,TWPS HASNAPUR,1,01_PS,08_TW (Dept),Elementary,03_11 to 20,20,01_1-30,0.10,10000,10000,7200,1700,1100,
202,3601,ADILABAD,360103,BELA,36010303302,MPUPS MASALA.B,2,02_UPS,01_Govt_Localbody,Elementary,07_51 to 60,55,02_31-100,0.25,25000,25000,18000,4250,2750,
203,3601,ADILABAD,360103,BELA,36010303401,MPPS HETI,1,01_PS,01_Govt_Localbody,Elementary,03_11 to 20,17,01_1-30,0.10,10000,10000,7200,1700,1100,
204,3601,ADILABAD,360103,BELA,36010303402,MPPS DUBBAGUDEM(M),1,01_PS,01_Govt_Localbody,Elementary,04_21 to 30,28,01_1-30,0.10,10000,10000,7200,1700,1100,
205,3601,ADILABAD,360103,BELA,36010303404,MPUPS BHADI,2,02_UPS,01_Govt_Localbody,Elementary,12_101 to 200,108,03_101-250,0.50,50000,50000,36000,8500,5500,
206,3601,ADILABAD,360103,BELA,36010303501,MPPS MASALA(K),1,01_PS,01_Govt_Localbody,Elementary,03_11 to 20,14,01_1-30,0.10,10000,10000,7200,1700,1100,
207,3601,ADILABAD,360103,BELA,36010304201,TWPS POHAR,1,01_PS,08_TW (Dept),Elementary,03_11 to 20,13,01_1-30,0.10,10000,10000,7200,1700,1100,
208,3601,ADILABAD,360103,BELA,36010304301,MPPS KARONI(B),1,01_PS,01_Govt_Localbody,Elementary,05_31 to 40,31,02_31-100,0.25,25000,25000,18000,4250,2750,
209,3601,ADILABAD,360103,BELA,36010304501,TWPS SONKHAS,1,01_PS,08_TW (Dept),Elementary,04_21 to 30,24,01_1-30,0.10,10000,10000,7200,1700,1100,
210,3601,ADILABAD,360103,BELA,36010304502,MPUPS SONKHAS,2,02_UPS,01_Govt_Localbody,Elementary,09_71 to 80,74,02_31-100,0.25,25000,25000,18000,4250,2750,
211,3601,ADILABAD,360103,BELA,36010304601,MPPS GANESHPUR,1,01_PS,01_Govt_Localbody,Elementary,04_21 to 30,24,01_1-30,0.10,10000,10000,7200,1700,1100,
212,3601,ADILABAD,360103,BELA,36010304701,MPPS PITGOAN (L),1,01_PS,01_Govt_Localbody,Elementary,05_31 to 40,33,02_31-100,0.25,25000,25000,18000,4250,2750,
213,3601,ADILABAD,360101,BHEEMPOOR,36010100101,MPPS RAJULA WADI,1,01_PS,01_Govt_Localbody,Elementary,04_21 to 30,23,01_1-30,0.10,10000,10000,7200,1700,1100,
214,3601,ADILABAD,360101,BHEEMPOOR,36010100102,TWPS TEKADIRAMPOOR,1,01_PS,08_TW (Dept),Elementary,03_11 to 20,15,01_1-30,0.10,10000,10000,7200,1700,1100,
215,3601,ADILABAD,360101,BHEEMPOOR,36010100105,MPPS KARANJI (T),1,01_PS,01_Govt_Localbody,Elementary,12_101 to 200,123,03_101-250,0.50,50000,50000,36000,8500,5500,
216,3601,ADILABAD,360101,BHEEMPOOR,36010100106,ZPHS KARANJI (T),7,03_HS,01_Govt_Localbody,sec_hsec,12_101 to 200,152,03_101-250,0.50,50000,50000,36000,8500,5500,
217,3601,ADILABAD,360101,BHEEMPOOR,36010100201,MPUPS GUBDI,2,02_UPS,01_Govt_Localbody,Elementary,04_21 to 30,25,01_1-30,0.10,10000,10000,7200,1700,1100,
218,3601,ADILABAD,360101,BHEEMPOOR,36010100303,MPUPS GOMUTRI,2,02_UPS,01_Govt_Localbody,Elementary,08_61 to 70,64,02_31-100,0.25,25000,25000,18000,4250,2750,
219,3601,ADILABAD,360101,BHEEMPOOR,36010100401,MPUPS ANTARGAON,2,02_UPS,01_Govt_Localbody,Elementary,06_41 to 50,48,02_31-100,0.25,25000,25000,18000,4250,2750,
220,3601,ADILABAD,360101,BHEEMPOOR,36010100501,MPPS ARLI(T),1,01_PS,01_Govt_Localbody,Elementary,12_101 to 200,177,03_101-250,0.50,50000,50000,36000,8500,5500,
221,3601,ADILABAD,360101,BHEEMPOOR,36010100502,MPPS BHAGWANPUR,1,01_PS,01_Govt_Localbody,Elementary,03_11 to 20,13,01_1-30,0.10,10000,10000,7200,1700,1100,
222,3601,ADILABAD,360101,BHEEMPOOR,36010100504,ZPHS ARLI(T),7,03_HS,01_Govt_Localbody,sec_hsec,13_201 to 300,224,03_101-250,0.50,50000,50000,36000,8500,5500,
223,3601,ADILABAD,360101,BHEEMPOOR,36010100507,MPPS  MANDHAPALLY,1,01_PS,01_Govt_Localbody,Elementary,03_11 to 20,12,01_1-30,0.10,10000,10000,7200,1700,1100,
224,3601,ADILABAD,360101,BHEEMPOOR,36010100602,MPUPS WADOOR,2,02_UPS,01_Govt_Localbody,Elementary,08_61 to 70,65,02_31-100,0.25,25000,25000,18000,4250,2750,
225,3601,ADILABAD,360101,BHEEMPOOR,36010100701,MPUPS DHANORA,2,02_UPS,01_Govt_Localbody,Elementary,12_101 to 200,101,03_101-250,0.50,50000,50000,36000,8500,5500,
226,3601,ADILABAD,360101,BHEEMPOOR,36010100801,MPPS KAMATWADA,1,01_PS,01_Govt_Localbody,Elementary,03_11 to 20,12,01_1-30,0.10,10000,10000,7200,1700,1100,
227,3601,ADILABAD,360101,BHEEMPOOR,36010100901,MPPS GONA,1,01_PS,01_Govt_Localbody,Elementary,03_11 to 20,20,01_1-30,0.10,10000,10000,7200,1700,1100,
228,3601,ADILABAD,360101,BHEEMPOOR,36010101001,MPPS GUNJALA,1,01_PS,01_Govt_Localbody,Elementary,08_61 to 70,62,02_31-100,0.25,25000,25000,18000,4250,2750,
229,3601,ADILABAD,360101,BHEEMPOOR,36010101101,MPPS GOLLAGHAT,1,01_PS,01_Govt_Localbody,Elementary,04_21 to 30,25,01_1-30,0.10,10000,10000,7200,1700,1100,
230,3601,ADILABAD,360101,BHEEMPOOR,36010101201,MPUPS TAMSI(K),2,02_UPS,01_Govt_Localbody,Elementary,09_71 to 80,77,02_31-100,0.25,25000,25000,18000,4250,2750,
231,3601,ADILABAD,360101,BHEEMPOOR,36010101401,MPPS DABBAKUCHI,1,01_PS,01_Govt_Localbody,Elementary,04_21 to 30,26,01_1-30,0.10,10000,10000,7200,1700,1100,
232,3601,ADILABAD,360101,BHEEMPOOR,36010101502,TWPS PURKAGUDA,1,01_PS,08_TW (Dept),Elementary,03_11 to 20,12,01_1-30,0.10,10000,10000,7200,1700,1100,
233,3601,ADILABAD,360101,BHEEMPOOR,36010101503,MPUPS BHEEMPOOR,6,03_HS,01_Govt_Localbody,sec_hsec,13_201 to 300,232,03_101-250,0.50,50000,50000,36000,8500,5500,
234,3601,ADILABAD,360101,BHEEMPOOR,36010101505,TWPS MARKAGUDA,1,01_PS,08_TW (Dept),Elementary,03_11 to 20,11,01_1-30,0.10,10000,10000,7200,1700,1100,
235,3601,ADILABAD,360101,BHEEMPOOR,36010101601,MPPS BELSARI RAMPUR,1,01_PS,01_Govt_Localbody,Elementary,04_21 to 30,30,01_1-30,0.10,10000,10000,7200,1700,1100,
236,3601,ADILABAD,360101,BHEEMPOOR,36010101602,TWPS BELSARI RAMPUR,1,01_PS,08_TW (Dept),Elementary,04_21 to 30,24,01_1-30,0.10,10000,10000,7200,1700,1100,
237,3601,ADILABAD,360101,BHEEMPOOR,36010101603,TWPS TEKDI GUDA,1,01_PS,08_TW (Dept),Elementary,03_11 to 20,14,01_1-30,0.10,10000,10000,7200,1700,1100,
Sl.No.,Dist. Code,Dist. Name,Block Code,Block name,School code,School Name,Schcat,Schcat1,Schmgt_abstract,Catg,Enr_slab,Enrol,Enr_group,Grant_a mount in lakhs,Amount,Now proposed to release 100% amount,"General component (2202-01-001-15-
05-500-503)","SC
component (2202-01-
789-15-05-
500-503)","ST
component (2202-01-
796-15-05-
500-503)",
238,3601,ADILABAD,360101,BHEEMPOOR,36010101701,TWPS ANDARBANDH,1,01_PS,08_TW (Dept),Elementary,05_31 to 40,32,02_31-100,0.25,25000,25000,18000,4250,2750,
239,3601,ADILABAD,360101,BHEEMPOOR,36010101704,TWPS JALKORI,1,01_PS,08_TW (Dept),Elementary,03_11 to 20,14,01_1-30,0.10,10000,10000,7200,1700,1100,
240,3601,ADILABAD,360101,BHEEMPOOR,36010101705,TWPS KHAIRGUDA,1,01_PS,08_TW (Dept),Elementary,03_11 to 20,14,01_1-30,0.10,10000,10000,7200,1700,1100,
241,3601,ADILABAD,360101,BHEEMPOOR,36010101706,TW ASHRAM HS BOYS ANDARBANDH,6,03_HS,08_TW (Dept),sec_hsec,12_101 to 200,120,03_101-250,0.50,50000,50000,36000,8500,5500,
242,3601,ADILABAD,360101,BHEEMPOOR,36010101801,MPPS WADGAON,1,01_PS,01_Govt_Localbody,Elementary,04_21 to 30,28,01_1-30,0.10,10000,10000,7200,1700,1100,
243,3601,ADILABAD,360101,BHEEMPOOR,36010101804,MPUPS GUBIDIPALLI,2,02_UPS,01_Govt_Localbody,Elementary,04_21 to 30,23,01_1-30,0.10,10000,10000,7200,1700,1100,
244,3601,ADILABAD,360101,BHEEMPOOR,36010101901,MPPS PIPPALKHOTI (TM),1,01_PS,01_Govt_Localbody,Elementary,12_101 to 200,153,03_101-250,0.50,50000,50000,36000,8500,5500,
245,3601,ADILABAD,360101,BHEEMPOOR,36010101903,ZPHS PIPPALKHOTI,7,03_HS,01_Govt_Localbody,sec_hsec,12_101 to 200,148,03_101-250,0.50,50000,50000,36000,8500,5500,
246,3601,ADILABAD,360101,BHEEMPOOR,36011100911,KGBV BHEEMPUR,5,04_HSS,04_KGBV,sec_hsec,14_301 to 400,359,04_251-1000,0.75,75000,75000,54000,12750,8250,
247,3601,ADILABAD,360114,BOATH,36011400702,TWPS SANGVI,1,01_PS,08_TW (Dept),Elementary,03_11 to 20,14,01_1-30,0.10,10000,10000,7200,1700,1100,
248,3601,ADILABAD,360114,BOATH,36011400801,MPPS KOWTHA BUZURG,1,01_PS,01_Govt_Localbody,Elementary,08_61 to 70,70,02_31-100,0.25,25000,25000,18000,4250,2750,
249,3601,ADILABAD,360114,BOATH,36011400802,MPPS HW KOWTA B,1,01_PS,01_Govt_Localbody,Elementary,06_41 to 50,45,02_31-100,0.25,25000,25000,18000,4250,2750,
250,3601,ADILABAD,360114,BOATH,36011400803,ZPHS KOWTHA BUZURG,7,03_HS,01_Govt_Localbody,sec_hsec,12_101 to 200,184,03_101-250,0.50,50000,50000,36000,8500,5500,
251,3601,ADILABAD,360114,BOATH,36011401501,MPPS BABERA,1,01_PS,01_Govt_Localbody,Elementary,03_11 to 20,19,01_1-30,0.10,10000,10000,7200,1700,1100,
252,3601,ADILABAD,360114,BOATH,36011401502,MPPS GURUDEV NAGAR,1,01_PS,01_Govt_Localbody,Elementary,03_11 to 20,20,01_1-30,0.10,10000,10000,7200,1700,1100,
253,3601,ADILABAD,360114,BOATH,36011401601,MPPS KANTEGAON,1,01_PS,01_Govt_Localbody,Elementary,09_71 to 80,80,02_31-100,0.25,25000,25000,18000,4250,2750,
254,3601,ADILABAD,360114,BOATH,36011401701,MPPS NIGINI,1,01_PS,01_Govt_Localbody,Elementary,08_61 to 70,67,02_31-100,0.25,25000,25000,18000,4250,2750,
255,3601,ADILABAD,360114,BOATH,36011401801,MPPS MARLAPALLY,1,01_PS,01_Govt_Localbody,Elementary,12_101 to 200,105,03_101-250,0.50,50000,50000,36000,8500,5500,
256,3601,ADILABAD,360114,BOATH,36011401802,ZPHS MARLAPALLY,7,03_HS,01_Govt_Localbody,sec_hsec,12_101 to 200,134,03_101-250,0.50,50000,50000,36000,8500,5500,
257,3601,ADILABAD,360114,BOATH,36011401901,MPPS NAKKALAWADA,1,01_PS,01_Govt_Localbody,Elementary,04_21 to 30,29,01_1-30,0.10,10000,10000,7200,1700,1100,
258,3601,ADILABAD,360114,BOATH,36011401902,TWPS KOTHAPALLY,1,01_PS,08_TW (Dept),Elementary,03_11 to 20,11,01_1-30,0.10,10000,10000,7200,1700,1100,
259,3601,ADILABAD,360114,BOATH,36011402002,MPPS JEEDIPALLI,1,01_PS,01_Govt_Localbody,Elementary,03_11 to 20,14,01_1-30,0.10,10000,10000,7200,1700,1100,
260,3601,ADILABAD,360114,BOATH,36011402003,MPPS KARATHWADA COLONY,1,01_PS,01_Govt_Localbody,Elementary,05_31 to 40,32,02_31-100,0.25,25000,25000,18000,4250,2750,
261,3601,ADILABAD,360114,BOATH,36011402101,MPPS BOYS BOATH BUZURG,1,01_PS,01_Govt_Localbody,Elementary,03_11 to 20,20,01_1-30,0.10,10000,10000,7200,1700,1100,
262,3601,ADILABAD,360114,BOATH,36011402102,MPPS GIRLS BOATH-B,1,01_PS,01_Govt_Localbody,Elementary,12_101 to 200,179,03_101-250,0.50,50000,50000,36000,8500,5500,
263,3601,ADILABAD,360114,BOATH,36011402103,MPPS HANUMANWADA,1,01_PS,01_Govt_Localbody,Elementary,03_11 to 20,19,01_1-30,0.10,10000,10000,7200,1700,1100,
264,3601,ADILABAD,360114,BOATH,36011402104,MPPS HW BOATH-B,1,01_PS,01_Govt_Localbody,Elementary,05_31 to 40,32,02_31-100,0.25,25000,25000,18000,4250,2750,
265,3601,ADILABAD,360114,BOATH,36011402108,MPPS BOATH BUZURG,1,01_PS,01_Govt_Localbody,Elementary,12_101 to 200,117,03_101-250,0.50,50000,50000,36000,8500,5500,
266,3601,ADILABAD,360114,BOATH,36011402109,ZPHS BOYS  BOATH BUZURG,7,03_HS,01_Govt_Localbody,sec_hsec,12_101 to 200,103,03_101-250,0.50,50000,50000,36000,8500,5500,
267,3601,ADILABAD,360114,BOATH,36011402110,ZPHS GIRLS BOATH BUZURG,7,03_HS,01_Govt_Localbody,sec_hsec,09_71 to 80,72,02_31-100,0.25,25000,25000,18000,4250,2750,
268,3601,ADILABAD,360114,BOATH,36011402111,GOVT. HS BOATH BUZURG,7,03_HS,01_Govt_Localbody,sec_hsec,12_101 to 200,130,03_101-250,0.50,50000,50000,36000,8500,5500,
269,3601,ADILABAD,360114,BOATH,36011402113,TW ASHRAM HIGH SCHOOL GIRLS BOATH-B,6,03_HS,08_TW (Dept),sec_hsec,12_101 to 200,182,03_101-250,0.50,50000,50000,36000,8500,5500,
270,3601,ADILABAD,360114,BOATH,36011402114,ZPHS BOYS BOATH (UM),7,03_HS,01_Govt_Localbody,sec_hsec,12_101 to 200,113,03_101-250,0.50,50000,50000,36000,8500,5500,
