Sl.No.,Dist. Code,Dist. Name,Block Code,Block name,School code,School Name,Schcat,Schcat1,Schmgt_abstract,Catg,Enr_slab,Enrol,Enr_group,Grant_a mount in lakhs,Amount,Now proposed to release 100% amount,"General component (2202-01-001-15-
05-500-503)","SC
component (2202-01-
789-15-05-
500-503)","ST
component (2202-01-
796-15-05-
500-503)",
17645,3623,RANGA REDDY,362304,RAJENDRANAGAR,36230401669,MPPS HANUMANNAGAR,1,01_PS,01_Govt_Localbody,Elementary,09_71 to 80,75,02_31-100,0.25,25000,25000,18000,4250,2750,
17646,3623,RANGA REDDY,362304,RAJENDRANAGAR,36230401671,MPUPS JALALBABANAGAR,2,02_UPS,01_Govt_Localbody,Elementary,12_101 to 200,157,03_101-250,0.50,50000,50000,36000,8500,5500,
17647,3623,RANGA REDDY,362304,RAJENDRANAGAR,36230401672,MPPS BABUL REDDY NAGAR,1,01_PS,01_Govt_Localbody,Elementary,13_201 to 300,207,03_101-250,0.50,50000,50000,36000,8500,5500,
17648,3623,RANGA REDDY,362304,RAJENDRANAGAR,36230401673,MPPS SRI RAM NAGAR,1,01_PS,01_Govt_Localbody,Elementary,12_101 to 200,111,03_101-250,0.50,50000,50000,36000,8500,5500,
17649,3623,RANGA REDDY,362304,RAJENDRANAGAR,36230401674,MPPS NTR NAGAR (UM),1,01_PS,01_Govt_Localbody,Elementary,12_101 to 200,163,03_101-250,0.50,50000,50000,36000,8500,5500,
17650,3623,RANGA REDDY,362304,RAJENDRANAGAR,36230401675,MPPS DURGA NAGAR,1,01_PS,01_Govt_Localbody,Elementary,12_101 to 200,166,03_101-250,0.50,50000,50000,36000,8500,5500,
17651,3623,RANGA REDDY,362304,RAJENDRANAGAR,36230401680,MPPS SULEMANNAGAR - II,1,01_PS,01_Govt_Localbody,Elementary,12_101 to 200,116,03_101-250,0.50,50000,50000,36000,8500,5500,
17652,3623,RANGA REDDY,362304,RAJENDRANAGAR,36230401695,MPPS PADMASHALIPURAM,1,01_PS,01_Govt_Localbody,Elementary,12_101 to 200,191,03_101-250,0.50,50000,50000,36000,8500,5500,
Sl.No.,Dist. Code,Dist. Name,Block Code,Block name,School code,School Name,Schcat,Schcat1,Schmgt_abstract,Catg,Enr_slab,Enrol,Enr_group,Grant_a mount in lakhs,Amount,Now proposed to release 100% amount,"General component (2202-01-001-15-
05-500-503)","SC
component (2202-01-
789-15-05-
500-503)","ST
component (2202-01-
796-15-05-
500-503)",
17653,3623,RANGA REDDY,362304,RAJENDRANAGAR,36230401696,MPPS GANESH NAGAR,1,01_PS,01_Govt_Localbody,Elementary,12_101 to 200,179,03_101-250,0.50,50000,50000,36000,8500,5500,
